## Supported OTG Parameter List:
Method	Type	Key
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.payload_length.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.payload_length.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.payload_length.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.payload_length.auto
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.auto
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.next_header.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.hop_limit.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.src.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.dst.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.ether_type.choice
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.ether_type.value
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.control_op_code.choice
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.control_op_code.value
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.control_op_code.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.class_enable_vector.choice
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.class_enable_vector.value
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.choice
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.value
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_0.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.choice
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.value
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_1.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_2.choice
Set/Get Config	Request	flows.{i}.packet.{i}.pfcpause.pause_class_2.value
